meter;X1800;X1810;X1820;X1830;X1840
Ан 1;0.0;0.0;0.7;0.0;0.7
Ан 2;0.0;2.3;4.6;3.9;6.7
Ан 3;0.0;0.0;0.0;1.2;0.0
Ан рз;0.0;0.0;1.3;3.5;6.0
Аф 2;4.3;4.7;2.6;1.9;0.0
Аф 3;0.0;0.0;0.0;0.4;0.0
Аф 4;2.1;0.0;0.7;1.2;0.0
Д 2;0.0;0.0;0.0;0.8;0.0
Д 4;0.0;2.3;0.7;0.0;0.7
Д рз;0.0;0.0;0.0;0.8;0.7
Логаэд Логаэд;2.1;2.3;4.0;2.7;3.7
Перем.анакр П.А;0.0;0.0;0.0;0.4;0.0
Пс Пс;10.6;32.6;15.9;19.8;25.4
Тк Неклассический;0.0;2.3;2.0;0.8;3.0
Х 3;0.0;0.0;5.3;11.3;14.9
Х 4;29.8;30.2;17.2;27.6;22.4
Х 5;0.0;0.0;0.7;0.0;0.0
Х 6;40.4;16.3;13.2;5.1;2.2
Х 7;0.0;4.7;0.0;0.4;0.0
Х вольн;0.0;0.0;0.0;0.8;0.0
Х рз;4.3;0.0;17.9;9.7;11.2
Я 2;0.0;0.0;0.7;0.0;0.0
Я 3;2.1;2.3;3.3;5.1;1.5
Я 4;4.3;0.0;1.3;0.8;0.0
Я 6;0.0;0.0;0.0;0.4;0.7
Я рз;0.0;0.0;7.9;1.6;0.0
