Meter,X1800,X1810,X1820,X1830,X1840,total
Пс2,10.6,32.6,14.5,17.6,23.9,118
Х4д,25.5,23.3,7.2,12.9,7.5,76
Х6м,38.3,16.3,11.8,3.9,1.5,55
Х4жм,4.3,4.7,5.3,10.2,9,50
Х3ж,0,0,1.3,3.5,6.7,20
Х43ж,4.3,0,3.9,4.3,0.7,20
Ан2м,0,0,2.6,2.3,5.2,17
Ан21мд,0,0,1.3,2.3,5.2,15
Х3д,0,0,3.3,2.7,3,16
Х3дм,0,0,0,3.9,3,14
Х43мж,0,0,4.6,2,0,12
Тактовик,0,2.3,2,0.8,3,10
Ан2д,0,2.3,2,1.2,1.5,9
Х4мж,0,2.3,2,0.4,2.2,8
Я3д,0,0,0.7,3.1,0,9d
Ан2м + Х3ж,0,2.3,0.7,1.2,2.2,8
Х4дм,0,0,2,0.8,2.2,8
Я3дм,2.1,0,1.3,1.2,0.7,7
Я43жм,0,0,3.3,0.8,0,7
Х32дж,0,0,0.7,0.8,2.2,6
Х4м,0,0,2,0.8,0.7,6
Х6ж,2.1,0,1.3,0.8,0.7,6
Аф2д,0,2.3,1.3,0.8,0,5
Пс2 + Ан1ж,0,0,0,2,0,5
Х42ж (Х6ж),0,0,3.3,0,0,5
Пс2 + Пс,0,0,1.3,0,1.5,4
Х3жм,0,0,0.7,0.8,0.7,4
Х42жд,0,0,0,0.4,2.2,4
Ан22м11ж + Х4м,0,0,1.3,0.4,0,3
Аф4м,2.1,0,0.7,0.4,0,3
Х42ж,0,0,1.3,0.4,0,3
Х43жм,0,0,0,0.8,1.5,4
Х7ж (Х4 + Х3),0,4.7,0,0.4,0,3
Я3жм,0,2.3,1.3,0,0,3
Я43м,0,0,2,0,0,3
Я4м,4.3,0,0.7,0,0,3
Ан3д,0,0,0,0.8,0,2
Аф2дж,2.1,2.3,0,0,0,2
Аф2дм,0,0,0.7,0.4,0,2
Пс + Ан1ж,0,0,0.7,0.4,0,2
Х32д,0,0,0,0.4,0.7,2
Х3жжмжжм,0,0,0,0,1.5,2
Х443жжм,0,0,0,0.4,0.7,2
Х4ж,0,0,0,0.8,0,2
Х4мд,0,0,0,0.4,0.7,2
Я3д + Х3ж,0,0,0.7,0,0.7,2
Я43мж,0,0,0.7,0.4,0,2
Ан21дж,0,0,0,0,0.7,1
Ан21мж,0,0,0,0,0.7,1
Ан2ж,0,0,0,0.4,0,1
Ан2ж + Аф2м,0,0,0,0.4,0,1
Ан34мж,0,0,0,0.4,0,1
Ан3ж,0,0,0,0.4,0,1
Ан41мж,0,0,0,0.4,0,1
Ан42м,0,0,0,0.4,0,1
Аф2ж + Аф1гд,2.1,0,0,0,0,1
Аф2жм,0,0,0.7,0,0,1
Аф2м,0,0,0,0.4,0,1
Аф2мж,0,0,0,0.4,0,1
Аф3жм,0,0,0,0.4,0,1
Аф4ж,0,0,0,0.4,0,1
Аф4жм,0,0,0,0.4,0,1
Гм,0,0,0.7,0,0,1
Д13дж,0,0,0.7,0,0,1
Д23дм,0,0,0,0,0.7,1
Д24дж,0,0,0,0.4,0,1
Д2д,0,0,0,0.4,0,1
Д2м,0,0,0,0.4,0,1
Д43дм,0,0,0,0.4,0,1
Д4жм,0,2.3,0,0,0,1
Д4д,0,0,0,0,0.7,1
Пс2 + Дк,2.1,0,0,0,0,1
Х223ж,0,0,0.7,0,0,1
Х24жм,0,0,0.7,0,0,1
Х2жд,0,0,0,0.4,0,1
Х32дм,0,0,0,0,0.7,1
Х32ж,0,0,0.7,0,0,1
Х3м,0,0,0,0.4,0,1
Х42443мжммж,0,0,0.7,0,0,1
Х43443мж,0,0,0,0.4,0,1
Х43дж,0,0,0,0,0.7,1
Х43дм,0,0,0,0,0.7,1
Х443ммж,0,0,0.7,0,0,1
Х4д + Ан2м,0,0,0,0.4,0,1
Х4жжм,0,0,0,0.4,0,1
Х4ммжж,0,0,0,0,0.7,1
Х4ммжм,0,0,0,0.4,0,1
Х4ммжмжм,0,0,0,0.4,0,1
Х5+4+3,0,0,0,0.4,0,1
Х54ммжж,0,0,0,0,0.7,1
Х5ж,0,0,0.7,0,0,1
Х64м,0,0,0,0.4,0,1
Я21мд,0,0,0,0.4,0,1
Я223м,0,0,0.7,0,0,1
Я2м,0,0,0.7,0,0,1
Я3,0,0,0,0,0.7,1
Я34дм,0,0,0.7,0,0,1
Я3д + Ан1ж,0,0,0,0.4,0,1
Я3д + Аф2ж,0,0,0.7,0,0,1
Я3ддм,0,0,0,0.4,0,1
Я3дж,0,0,0,0.4,0,1
Я3д + Х3м (пер.анакр),0,0,0,0.4,0,1
Я421,0,0,0.7,0,0,1
Я43мд,0,0,0,0.4,0,1
Я4жм,0,0,0,0.4,0,1
Я4мж,0,0,0.7,0,0,1
Я6жм,0,0,0,0,0.7,1
Я6мж,0,0,0,0.4,0,1
