Meter;melody_src;freq
Х6м;Скучно, матушка, весною жить одной;9
Х6м;Вечор был я на почтовом на дворе;5
Ан22м11ж;Ах тошно мне (Нелединский-Мелецкий);3
Х6м;Как за реченькой слободушка стоит;3
Пс2;Как на матушке на Неве реке;3
Х4д;Не бушуйте вы, ветры буйные;2
Пс;Не гуляй, мой друг (Цыганов);2
Пс;Уж как пал туман на сине море;2
Х32дж;Цвели, цвели цветики;2
Х32дж;Что ты рано, травушка (Цыганов);2
Х6м;Я не знала ни о чем в свете тужить;2
Х443жжм;За горами, за долами;2
Пс;Ты душа моя красна девица;2
Х6м;Что ты девица невесело сидишь (Баженов);1
Пс;Ах вы кумушки голубушки;1
Я4м;Ах девица красавица;1
Х4д;Ах талан ли мой талан такой;1
Пс;Ах ты батюшка наш царев кабак;1
Х32дж;Ах ты время времечко (Цыганов);1
Х4д;Ах ты солнце солнце красное (Новиков);1
Аф2ж;Ах что ж ты голубчик (Львов-Прач);1
Х3ж;В поле ветер воет (Кольцов);1
Х42ж (Х6ж);В посиделках девки пряли;1
Х6м;Вдовушка по сеничкам похаживала;1
Аф4м;Вечор я у милого при милости была [Львов-Прач, № 81];1
Х43мж;Вился вился ярый хмель;1
Ан2м + Х3ж;Во донских во лесках;1
Х5ж;Во поле береза стояла;1
Х6ж;Вылетала голубина на долину (Прач);1
Х4д;Говорил то мне сердечный друг;1
Х4д;Голова ль моя головушка;1
Х4жм;Да спасибо же тебе синему кувшину (Сахаров);1
Х6ж;Как вечор тоска нападала (Песенник 1819);1
Х3дм;Не женись на умнице (Тимофеев);1
Пс3ж;Не кукушечка во сыром бору куковала (Кашин 1834);1
Ан2м + Х3ж;Не стружок на водах (Шаховской);1
Х3дм;Не шей ты мне матушка (Цыганов);1
Ан2м;Ободовский (Ты не плачь, не тоскуй);1
Х43ж;При долинушке стояла;1
Х4д;Седина ль моя сединушка;1
Х4д;Соловей мой соловеюшка (Львов-Прач);1
Я3дм;Среди долины ровныя (Мерзляков);1
Я3д;Сторона ль моя сторонушка;1
Х4д;Ты бесчастный добрый молодец;1
Х6м;Ты поди моя коровушка домой;1
Х42ж;Ты проходишь, дорогая, мимо кельи;1
Х43ж;Чернобровый, черноглазый;1
Пс;Я вечор млада во пиру была (Песенник 1819);1
Пс;Я люблю тебя, душа-девица;1
